0,Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location,Community Areas,00000000000000000000000000000000000000000
11,9ac786598082e84fea313be00e70365b1c7ba708,925c618deecf045b84a5abc4a4296b38ca08d3fbc43d5a7cb068f1cc1785e12b204d835432548c89fd180624aa9a7642297a3300b4c289257af65f0726177d85,11/17/15 0:30,11/17/15 0:45,780,0,,,76,16,$20.25 ,$2.00 ,$0.00 ,$2.00 ,$24.25 ,Credit Card,Taxi Affiliation Services,41.98026432,-87.9136246,POINT (-87.913625 41.980264),41.95358213,-87.72345239,POINT (-87.723452 41.953582),75,000000000000000000000000000000000000
12,d0006d97d464c25fb72b86857613e790fc12d9fc,a69be59fcfbe16ee08d7bde8190c98037343f20d4efd7486e663970cfa31da286812f83976ab8bea0b924e407524ef536a4aa217d7f106f9cc898973d0c2782e,10/23/14 13:00,10/23/14 13:15,600,0.1,17031839100,17031081401,32,8,$8.25 ,$2.00 ,$0.00 ,$1.00 ,$11.25 ,Credit Card,Taxi Affiliation Services,41.88099447,-87.63274649,POINT (-87.632746 41.880994),41.89503345,-87.61971067,POINT (-87.619711 41.895033),38,00000000000
13,fb17aa7e1578ddf7ad068a137acd57f1feb5103f,fca5a4c5310ab86ab5be5e35261988e5190110ccfd5e50c9df74d084c55bea9f398c72c8ae785b2dde4d0c05b0cfd01041ef6e6d7e5df3afdc70f59cd7357a8c,12/4/14 3:00,12/4/14 3:00,240,1.2,17031081700,17031839100,8,32,$5.85 ,$2.00 ,$0.00 ,$0.00 ,$7.85 ,Credit Card,,41.89204214,-87.63186395,POINT (-87.631864 41.892042),41.88099447,-87.63274649,POINT (-87.632746 41.880994),37,00000000000000000000000000000000000000000
14,8c84dbc03a45acb0640eb0c34503395ec0205e45,fd1428886e44bcaee631154a2aa027fc78c57aea0c405b368bb0103a91868396da56d28906cde90333d45bc55ff218d848d2aa3cc7d4243cb6a6751fd290e608,8/9/14 15:15,8/9/14 16:00,3000,5.2,17031060900,17031081403,6,8,$23.05 ,$0.00 ,$0.00 ,$2.00 ,$25.05 ,Cash,Taxi Affiliation Services,41.94982935,-87.64396537,POINT (-87.643965 41.949829),41.89092203,-87.61886836,POINT (-87.618868 41.890922),57,000000000000000000000
15,df466aecad996f47084c1c10f9993d326b175cae,ea4daf4e61f0f63ebcab3cf3a5e6400c14f65b95b191b26a179aff51bdbf6bc692ec775a6ce1509e71434c6add26df7052ba53676268dd9ae34c58580120f430,8/25/15 4:45,8/25/15 5:00,300,0,,,1,3,$6.65 ,$3.00 ,$0.00 ,$1.00 ,$10.65 ,Credit Card,Taxi Affiliation Services,42.00962288,-87.67016686,POINT (-87.670167 42.009623),41.96581197,-87.65587879,POINT (-87.655879 41.965812),10,0000000000000000000000000000000000000000
16,686aa67ab318cc59b9fa3e300689c6749d16c395,af5b394cb22984f667fc0a9cc30e0277cb9edf50f14747a58103447a8f8861966b49214180a54cf352c97334695812f7e66bce1b1b5c954e22ea98a1011e60e9,10/31/14 20:30,10/31/14 20:30,360,2.1,17031980000,17031770700,76,,$7.45 ,$0.00 ,$0.00 ,$2.00 ,$9.45 ,Credit Card,Dispatch Taxi Affiliation,41.97907082,-87.90303966,POINT (-87.90304 41.979071),41.98277501,-87.8773054,POINT (-87.877305 41.982775),75,000000000000000
17,56b012c541168b7f59015141781f2eb60e0c7219,9e82fe38267ee47b641551b3e82bb468127d4c88ca8fa919c4ce70dd8d76a1e36bb547890616318dbd9bbcf398a738c5ab0110fc43007dbf84fe74447145b59d,7/30/14 16:45,7/30/14 16:45,360,1.1,17031071100,17031071400,7,7,$5.65 ,$3.00 ,$0.00 ,$0.00 ,$8.65 ,Credit Card,,41.92177819,-87.65106188,POINT (-87.651062 41.921778),41.92208254,-87.63415609,POINT (-87.634156 41.922083),68,0000000000000000000000000000000000000000
18,103f943479b3ad32e848a1d3ab1208fc204ee6bd,c6df39b55631b17e347502b2d2faf91b740a3e5a44384b9cabe785631f3018445f42b756eac8637ce107e2b310ee5c24952882562c4a5c8415bb59cd75cca8f1,1/21/14 18:15,1/21/14 18:15,240,0.3,17031280100,17031281900,28,28,$4.65 ,$0.00 ,$0.00 ,$0.00 ,$4.65 ,Cash,Dispatch Taxi Affiliation,41.88530002,-87.64280847,POINT (-87.642808 41.8853),41.87925508,-87.642649,POINT (-87.642649 41.879255),29,000000000000000000000000
19,92b479eed5b3929dae75780a62b23b760394de54,6d87bec8e3d8295048f310cb258b020205e5f45fc2ec94f5576e2d4a02d5e655102e0be3e45cd16c1f81fbaa352a6c551a3685399876319c84b75ff8deec56ec,3/27/13 22:00,3/27/13 21:45,,0,,,,,$47.25 ,$9.45 ,$0.00 ,$0.00 ,$56.70 ,Credit Card,Chicago Elite Cab Corp.,,,,,,,,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
20,20133c2790c64b45e5d72f1493c318ceac0a7c1b,e9f6491ee4553668440a51a01c34262aa3c56473bec76d4124d97f813a5c6dd1c08bd266f800baeef5224ce226dc37eb643d580e80a84b16a532d6e0330808df,5/18/13 10:45,5/18/13 11:00,480,0,17031071500,17031081300,7,8,$7.05 ,$0.00 ,$0.00 ,$0.00 ,$7.05 ,Cash,Blue Ribbon Taxi Association Inc.,41.91461629,-87.63171737,POINT (-87.631717 41.914616),41.89833179,-87.62076287,POINT (-87.620763 41.898332),68,0000000000000000
21,b72501c6b404d74db06c797c7482eef144e737b1,e61ce97d61bec30e506e2ff56ea034ad7c06cc6a0a4c0f83796c2c84af963f8f28541f8277b47b5ee5b7d00b5a57b9e4e32c58900f34f11e7185f27e2274137b,2/28/16 16:00,2/28/16 16:45,2940,18,17031320400,17031980000,32,76,$45.25 ,$13.55 ,$0.00 ,$0.00 ,$58.80 ,Credit Card,Chicago Medallion Management,41.87740612,-87.62197165,POINT (-87.621972 41.877406),41.97907082,-87.90303966,POINT (-87.90304 41.979071),38,00000000
22,e5d021edc14756554d736290a1952ad4b54d5963,b71c6761efe32829e7e453b0c6fcb78a456a7d83c720c746ac0575025dd8c5e3cd6b554288cf71419c89931c34166201ab5f47fe928d5d18e377bad66b8750fc,7/22/14 22:15,7/22/14 22:30,1080,5.7,17031080100,17031160800,8,16,$15.25 ,$0.00 ,$0.00 ,$0.00 ,$15.25 ,Cash,3897 - Ilie Malec,41.90752008,-87.6266589,POINT (-87.626659 41.90752),41.9502121,-87.71281423,POINT (-87.712814 41.950212),37,00000000000000000000000000000
23,42118fd069ca7ecfc4db56abce9c2d26c5469093,f85842c2c0ff04342b10bf267463ba9095bffa254f829738981d55232dd8056f6acb263a5b393a8c90883748a238d3d381bacedb5df2dff1c22b3272a914d139,11/19/16 19:00,11/19/16 19:15,840,3,17031071500,17031833000,7,28,$11.25 ,$1.84 ,$0.00 ,$1.00 ,$14.09 ,Credit Card,Dispatch Taxi Affiliation,41.91461629,-87.63171737,POINT (-87.631717 41.914616),41.88528132,-87.6572332,POINT (-87.657233 41.885281),68,0000000000000
24,659e0d783d3ffe3bb82b4c4525394c919222d40d,a71f76acdb5dc6915ce2c480dffb2802c0c4c813bc0fc63c0b21015cdbea066e0b2ca86014cf95feb1fdb8a861ee43edc8a1b4c1ae848d04a3abe0e1b9aa8181,7/25/14 22:15,7/25/14 22:30,540,0.9,17031081100,17031081403,8,8,$6.65 ,$0.00 ,$0.00 ,$1.00 ,$7.65 ,Cash,Taxi Affiliation Services,41.9002213,-87.62910519,POINT (-87.629105 41.900221),41.89092203,-87.61886836,POINT (-87.618868 41.890922),37,00000000000000000000000
25,d797e7ce606ad31b98bfe258dc4df7dc1274d018,abb33898b8d70d22237631f6bdf0e107ae7ab74ccba2678831762e64dc3ff56666168f8107e95d74935f7e30e6d92cb880af945d9e7797e0f379c36d88311f11,1/21/15 17:30,1/21/15 17:45,540,1.3,,,,,$6.85 ,$0.00 ,$0.00 ,$0.00 ,$6.85 ,Cash,Chicago Medallion Management,,,,,,,,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
26,e1f3fded0b99b3da0e91dd6f1028a58d7fae77ee,957f9f38a64b3f69b922bebf7d0db47967c6dfedf59036aabd32fd62dad8fdac5b8f45debf8ff03c828ea3aefe3cbc8e3b33f16c51b9ecd9442b12da1d73134d,7/7/15 15:00,7/7/15 15:00,0,0,,,,,$74.00 ,$0.00 ,$0.00 ,$0.00 ,$74.00 ,Credit Card,,,,,,,,,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
27,59c4ccaf32e42ae3b8b2842ca707542d8f28cee3,9ff09a41e365a08e3a1f837d352c1503eea1d454c4a336316a76917d8bdc5d4c31debb1cfd67470768497f2e709e3f74c7467db3c9e06357be1442b8491e001f,7/10/13 11:15,7/10/13 11:30,360,0,17031081700,17031839100,8,32,$6.05 ,$0.00 ,$0.00 ,$0.00 ,$6.05 ,Cash,Taxi Affiliation Services,41.89204214,-87.63186395,POINT (-87.631864 41.892042),41.88099447,-87.63274649,POINT (-87.632746 41.880994),37,00000000000000000000000
28,3718647e993e578a7e1b9b63d557617e6ce734a8,2e46da132f45550c64de93d222eac1c3dc9ff83ece464ccc1b3cfe06e273ed80324b5c5aad786d653d7df27fecdc6b1456805f34bd026a95519bb57910c4d4e2,2/22/13 22:45,2/22/13 23:00,660,6.3,17031320100,17031031400,32,3,$15.05 ,$0.00 ,$0.00 ,$0.00 ,$15.05 ,Cash,,41.88498719,-87.62099291,POINT (-87.620993 41.884987),41.96217863,-87.64537876,POINT (-87.645379 41.962179),38,00000000000000000000000000000000000000000000
29,d991e5fc35756d39f9c8c97a5c4367fb6ee92c8d,061388982993682b5a6db1167ce78e3f854a3eedb5cb00f2f463fa93c3573432db6791aa78e44e655cacab707526975bfcd22387c096051d5fab85e9c5d2ea9c,9/28/14 6:15,9/28/14 6:15,660,6.1,,,8,22,$14.85 ,$0.00 ,$0.00 ,$1.00 ,$15.85 ,Cash,Choice Taxi Association,41.89960211,-87.63330804,POINT (-87.633308 41.899602),41.92276062,-87.69915534,POINT (-87.699155 41.922761),37,000000000000000000000000000000000000000000000
30,5cca4f4a4ec892c800494bcdb95d58856d87ca93,80f54860b16aca241b2f12e6f913328c3d3e46509100517c240aeb81a63c2c59d1085a7b86556330d1857f6a4047a3303540483b2221b0534e40f32537a6d3de,6/10/16 19:15,6/10/16 19:15,0,0,,,5,5,$3.25 ,$0.00 ,$0.00 ,$0.00 ,$3.25 ,Cash,Choice Taxi Association,41.94779159,-87.68383494,POINT (-87.683835 41.947792),41.94779159,-87.68383494,POINT (-87.683835 41.947792),46,00000000000000000000000000000000000000000000000000
31,861624d0ee755dc8f3d9d595a992d9ebd572c7d4,7c3fa7e9da547d8e7865cb03763098ab5fbbecc639a457b8a12443f60204acc01a7e866137da370311f8011111b22475927facb77b31e44a7da0382183f3e7ae,12/24/15 0:30,12/24/15 0:30,180,0.6,17031080300,17031080400,8,8,$4.65 ,$0.00 ,$0.00 ,$0.00 ,$4.65 ,Cash,,41.90749193,-87.63576009,POINT (-87.63576 41.907492),41.90741282,-87.64090153,POINT (-87.640902 41.907413),37,000000000000000000000000000000000000000000000000
32,6df86e7077bed13e4130213c7a599fc12cee68c7,e7b9cbd3135df75dd6b30289d0183b3783ea90679304b9f87e56e43a75e87ea23a168fdfd7755a86b63f4211e152dc3a300b755a741cf74708e7f9ffa86fd50a,8/17/15 19:00,8/17/15 19:15,540,1.1,17031320100,17031280100,32,28,$6.85 ,$2.00 ,$0.00 ,$1.50 ,$10.35 ,Credit Card,Chicago Medallion Leasing INC,41.88498719,-87.62099291,POINT (-87.620993 41.884987),41.88530002,-87.64280847,POINT (-87.642808 41.8853),38,0000000000
33,29005827f2dd21260ad157b2e4987fa8a817c134,4ab9f0cdee3df3c394efba906bbde7a4a577bcf8d1ce43aaa3e86df8a28ab60152906c9d356b782fe3ed7835c6be506c5fca6922a9f8cc01d58067b64cfe03e7,8/19/14 16:45,8/19/14 16:45,360,0,17031081300,17031320100,8,32,$5.65 ,$0.00 ,$0.00 ,$1.00 ,$6.65 ,Cash,Taxi Affiliation Services,41.89833179,-87.62076287,POINT (-87.620763 41.898332),41.88498719,-87.62099291,POINT (-87.620993 41.884987),37,00000000000000000000000
34,abae00005b1633ea67272bd92597621c7039df68,43946e4da8905d64ceeed7cfc2b1969df72ecf991b865a99c728266c59bd5f8102e0247a0e68cc6d3183d613fd12e70e30761d071453db3ebbed1dd94b4eacd5,6/27/13 9:15,6/27/13 9:15,480,0.7,17031081600,17031081403,8,8,$6.25 ,$0.00 ,$0.00 ,$0.00 ,$6.25 ,Cash,,41.89207264,-87.62887416,POINT (-87.628874 41.892073),41.89092203,-87.61886836,POINT (-87.618868 41.890922),37,0000000000000000000000000000000000000000000000000
35,41ec825913540f6e2dd05c1ff750351c6cd7db6e,770c8eeffb35f5fb925ceecfac5201171e3ecdaf5bacaa75c715bafdcd8c6322a479407001e9e1ed4f65bdcbc4030a22123cce3599809fe6f55b73608485130c,12/28/16 12:15,12/28/16 12:15,60,0.1,17031839100,17031839100,32,32,$3.50 ,$0.00 ,$0.00 ,$0.00 ,$3.50 ,Cash,,41.88099447,-87.63274649,POINT (-87.632746 41.880994),41.88099447,-87.63274649,POINT (-87.632746 41.880994),38,00000000000000000000000000000000000000000000
36,f8bdfb6c7dd1ed5b5ca5021f5be9941aea2b4d50,d38890256d8a1e8146f0b15dc23e3b2a140b4fa3834698dda8914c6365d81144ed40721178e4846333528eb314ce5ee255165b2b31384399dbb6928ca8799b67,12/2/13 15:45,12/2/13 15:45,660,0,17031281900,17031081300,28,8,$8.45 ,$0.00 ,$0.00 ,$0.00 ,$8.45 ,Cash,Taxi Affiliation Services,41.87925508,-87.642649,POINT (-87.642649 41.879255),41.89833179,-87.62076287,POINT (-87.620763 41.898332),29,0000000000000000000000000
37,d63ea2c8162c9a12609721322a36ac1c6ce9970c,a852718ed3e2de8a91bfa64c882456c149f0c6a0253b1a3ea84dcb1b9f7476fcb84575475ad1ec05220c01d69d9904febfbf282d7610a102623c4503d86e2991,7/27/16 17:15,7/27/16 17:15,720,0,,,,68,$20.10 ,$0.00 ,$0.00 ,$0.00 ,$20.10 ,Cash,Blue Ribbon Taxi Association Inc.,,,,41.77719626,-87.64249753,POINT (-87.642498 41.777196),,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
38,fe94b20844764fee50485f95dc90a4e77d950adc,d7a914d0849ede0757232f2faba6f3e9facf802ed7b8fae31be71e1ab94b310139b784d25d85babb9e67ad152a0c8470dabcac408c8085b39887234cc1bd3499,2/2/15 19:15,2/2/15 19:30,600,2,,,6,7,$7.65 ,$2.00 ,$0.00 ,$0.00 ,$9.65 ,Credit Card,KOAM Taxi Association,41.9442266,-87.65599818,POINT (-87.655998 41.944227),41.92268628,-87.64948873,POINT (-87.649489 41.922686),57,0000000000000000000000000000000000000000000000
39,28280af44b98defffcf5d037a47e33c1b58292c2,de9b124648a7618ea280b9de36c888c1880fb88248e2248f23c22eca029618525add0d4eb1f43ce1b20fb29f656a4636faec0559e72cd48a3bcdf75fbe49c6f7,9/1/14 12:00,9/1/14 12:30,1620,8.4,,,5,6,$21.25 ,$0.00 ,$0.00 ,$0.00 ,$21.25 ,Cash,,41.94779159,-87.68383494,POINT (-87.683835 41.947792),41.9442266,-87.65599818,POINT (-87.655998 41.944227),46,000000000000000000000000000000000000000000000000000000000000000000000
40,f3f6975662d8b8236bc12005b7dd016a9993f96a,e54b5e0b458fbbfdbd31472d001c5a9fe79aec496e24b4afb9f228eb6f3da844f2704ad53d3bd359db37ccc2605e3f1a79de59e120f1e42e3cd585f73439f57b,7/26/14 0:30,7/26/14 0:30,780,4.1,17031071800,17031081500,7,8,$12.05 ,$0.00 ,$0.00 ,$1.00 ,$13.05 ,Cash,,41.91458571,-87.64596621,POINT (-87.645966 41.914586),41.89250778,-87.62621491,POINT (-87.626215 41.892508),68,00000000000000000000000000000000000000000000000
41,275f50f67ed098390feaec234ab65969bbe9c40a,94085c487ecd203fd17e8762799c158eeba3d8bf5b16acedc95714c9daf2d99cb220b1d577fb8c73bfc5fd76cf5b347d6f65f576586a0c5ac77b0107768534fc,7/7/13 23:00,7/7/13 23:00,120,0,17031031501,17031031502,3,3,$4.25 ,$0.00 ,$0.00 ,$0.00 ,$4.25 ,Cash,Choice Taxi Association,41.96728861,-87.652435,POINT (-87.652435 41.967289),41.96363317,-87.65236536,POINT (-87.652365 41.963633),31,000000000000000000000000000000
42,106e5ce04c13c58f743221443e591e820347bf65,e3cc7912da1547a0c5970e1d365c985a29523406e5ea4795908aa90037a3b02eb2566317fbe6cab2caee412a71dc1ed0c56f466ea2a6c25ea8853ea4197dfac2,12/6/15 16:00,12/6/15 16:00,180,1.1,,,3,4,$5.25 ,$0.00 ,$0.00 ,$0.00 ,$5.25 ,Cash,Top Cab Affiliation,41.96581197,-87.65587879,POINT (-87.655879 41.965812),41.97517094,-87.68751552,POINT (-87.687516 41.975171),31,00000000000000000000000000000000000000000000000000
43,9bc80512c6f329892db0eadaa6c328a0d0adae07,30807f0937a3539b22a59ce80c71912ac9c6a27c48319942c1a5df273eba573a9f4a854138ee26fe783aa907e2a7711fb72791cb3d19fa49dcd5f0651b5ff3f1,7/21/15 20:15,7/21/15 21:00,2880,2.7,17031980100,,56,,$83.05 ,$0.00 ,$0.00 ,$5.00 ,$88.05 ,Cash,Taxi Affiliation Services,41.78599852,-87.75093429,POINT (-87.750934 41.785999),,,,53,000000000000000000000000000000000000000000000000000000000000000000000000000000000
44,182c5fc50e1e80a36908550b8355ee88a1440887,0e10402fec53ef38b58f3ca981fd038e0bc6c8ffec690673298c3203ff8cc907925b53cfffbfe164d2d1fce50290920897136826a0fb877c2a381749cb9fc270,11/13/13 7:45,11/13/13 8:00,300,0.8,17031281900,17031839100,28,32,$5.45 ,$0.00 ,$0.00 ,$0.00 ,$5.45 ,Cash,,41.87925508,-87.642649,POINT (-87.642649 41.879255),41.88099447,-87.63274649,POINT (-87.632746 41.880994),29,00000000000000000000000000000000000000000000000
45,603e160dcd4505e9fd210f11dd5eea157e63ec49,7b1ac8aace3932ce8b4302cc292a88c6d6f0446ea8134c5bf89bdc53b5206a1ff7981f7490655c5a0d37f41f44de44cf2895f90b9b27b59184e57dde8d135dd6,2/1/14 23:15,2/1/14 23:30,660,3.1,17031241400,17031062900,24,6,$9.85 ,$2.00 ,$0.00 ,$1.00 ,$12.85 ,Credit Card,,41.90602597,-87.67531162,POINT (-87.675312 41.906026),41.93623718,-87.65641153,POINT (-87.656412 41.936237),25,0000000000000000000000000000000000000000
46,4fd320f0c1c6870c6d342ee359cd4e8be84bcfd8,e93472aad9e00c0a523e1a861ae897303548d713ba63d3b8019a99d519a78fa799cd5a3c5366479d1796d94cbe6552b706e4e60fac373942ee2d349b5d9a44b3,6/28/16 9:00,6/28/16 9:00,493,8.2,17031839100,17031841900,32,28,$6.50 ,$0.00 ,$0.00 ,$0.00 ,$6.50 ,Cash,,41.88099447,-87.63274649,POINT (-87.632746 41.880994),41.86790242,-87.64295867,POINT (-87.642959 41.867902),38,00000000000000000000000000000000000000000000000
47,f193b345779aac91652c3da3e06b87175aaff853,ebac90448b2ee111d2135c006cd5657288aa09a2e4e5be7fe310a41a83ea4a3b814722b03b71490eae5caf76531b71e9d84f78e471e7304d82be003ecd12db9d,10/28/13 10:00,10/28/13 10:15,840,0,,,7,32,$10.05 ,$0.00 ,$0.00 ,$0.00 ,$10.05 ,Cash,Taxi Affiliation Services,41.92268628,-87.64948873,POINT (-87.649489 41.922686),41.87886558,-87.62519214,POINT (-87.625192 41.878866),68,00000000000000000000000000000000000000000
48,870753d56f8575584902364ffa08c79d59e2ab4f,8f2261a1173054365b6a9c751af24187ae1f93b70b7e612116df640fac109282a11c17d91e7fac9699c9f1f4f73fb811cbdf57a04cdaef6a4a0e500d910c3fe4,6/27/15 20:15,6/27/15 20:15,420,0.9,17031081500,17031839100,8,32,$6.05 ,$4.00 ,$0.00 ,$0.00 ,$10.05 ,Credit Card,Choice Taxi Association,41.89250778,-87.62621491,POINT (-87.626215 41.892508),41.88099447,-87.63274649,POINT (-87.632746 41.880994),37,000000000000000
49,0ae6abb4718dd3280b68625298526b309a502bf1,15ae156101456925cc4ade445676def1ae013e526cff1ab373d17e32942c6cae5f7f217ba08842ca73bd73eab6ce9f7bd63dbd3002884fc7151576655e65d542,3/23/14 18:45,3/23/14 18:45,240,0,17031062000,17031061902,6,6,$3.85 ,$2.00 ,$0.00 ,$2.00 ,$7.85 ,Credit Card,Taxi Affiliation Services,41.94257719,-87.64707851,POINT (-87.647079 41.942577),41.94315509,-87.64069808,POINT (-87.640698 41.943155),57,00000000000000000
50,c56a8cdd08a25a300044a1163952a933ea52a03a,4d97a6adfef73877de02898cc11d1509ccf607b6e12bc37fd747eb61f08d64b1de317f3664a291d3d65e561b76c41208c9b4a16222ec719ca6db922d4135a648,5/18/15 19:00,5/18/15 19:00,0,0,17031320100,17031320100,32,32,$3.25 ,$0.00 ,$0.00 ,$2.00 ,$5.25 ,Cash,,41.88498719,-87.62099291,POINT (-87.620993 41.884987),41.88498719,-87.62099291,POINT (-87.620993 41.884987),38,0000000000000000000000000000000000000000000000000
